Name,Team,Pos,Wk,Opp,Year,Status,TeamScore,OppScore,PassYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgs,ReceivingYds,ReceivingTD,FL
Aaron Jones,GB,RB,2,DET,2020,0,42,21,0,0,0,0,0,18,168,2,4,8,68,1,0
Dak Prescott,DAL,QB,2,ATL,2020,0,40,39,450,1,0,47,34,5,18,3,0,0,0,0,1
Alvin Kamara,NO,RB,2,LV,2020,0,24,34,0,0,0,0,0,13,79,2,9,9,95,0,0
Cam Newton,NE,QB,2,SEA,2020,0,30,35,397,1,0,44,30,11,47,2,0,0,0,0,0
Josh Allen,BUF,QB,2,MIA,2020,0,31,28,415,4,0,35,24,4,19,0,0,0,0,0,0
Russell Wilson,SEA,QB,2,NE,2020,0,35,30,288,5,0,28,21,5,39,0,0,0,0,0,0
Kyler Murray,ARI,QB,2,WAS,2020,0,30,15,286,1,0,38,26,8,67,2,0,0,0,0,0
Calvin Ridley,ATL,WR,2,DAL,2020,Q,39,40,0,0,0,0,0,0,0,0,7,10,109,2,0
Stefon Diggs,BUF,WR,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,8,13,153,1,0
Matt Ryan,ATL,QB,2,DAL,2020,0,39,40,273,4,0,36,24,4,16,0,0,0,0,0,0
Darren Waller,LV,TE,2,NO,2020,0,34,24,0,0,0,0,0,0,0,0,12,16,105,1,0
Tyler Higbee,LAR,TE,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,5,5,54,3,0
Leonard Fournette,TB,RB,2,CAR,2020,O,31,17,0,0,0,0,0,12,103,2,4,5,13,0,0
Patrick Mahomes,KC,QB,2,LAC,2020,0,23,20,302,2,0,47,27,6,54,0,0,0,0,0,0
Mike Gesicki,MIA,TE,2,BUF,2020,0,28,31,0,0,0,0,0,0,0,0,8,11,130,1,0
Ryan Tannehill,TEN,QB,2,JAX,2020,0,33,30,239,4,0,24,18,4,12,0,0,0,0,0,0
Nick Chubb,CLE,RB,2,CIN,2020,IR,35,30,0,0,0,0,0,22,124,2,1,1,9,0,0
Julian Edelman,NE,WR,2,SEA,2020,Q,30,35,0,0,0,0,0,0,0,0,8,11,179,0,0
Terry McLaurin,WAS,WR,2,ARI,2020,P,15,30,0,0,0,0,0,0,0,0,7,10,125,1,0
Christian McCaffrey,CAR,RB,2,TB,2020,IR,17,31,0,0,0,0,0,18,59,2,4,5,29,0,0
Joe Burrow,CIN,QB,2,CLE,2020,0,30,35,316,3,0,61,37,7,19,0,0,0,0,0,2
Jonnu Smith,TEN,TE,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,4,5,84,2,0
Ryan Fitzpatrick,MIA,QB,2,BUF,2020,0,28,31,328,2,0,47,31,3,12,0,0,0,0,0,0
Kareem Hunt,CLE,RB,2,CIN,2020,P,35,30,0,0,0,0,0,10,86,1,2,2,15,1,0
Jordan Reed,SF,TE,2,NYJ,2020,IR,31,13,0,0,0,0,0,0,0,0,7,8,50,2,0
Travis Kelce,KC,TE,2,LAC,2020,0,23,20,0,0,0,0,0,0,0,0,9,14,90,1,0
Jared Goff,LAR,QB,2,PHI,2020,0,37,19,267,3,0,27,20,7,13,0,0,0,0,0,0
