,TEAM,TOTALVOA,TOTAL DAVE,RANK,W-L,OFFENSEVOA,OFF.RANK,DEFENSEVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,KC,73.1%,-7.8%,23,1-0,7.8%,13,-68.0%,1,-2.7%,19
2,DEN,72.8%,25.2%,1,1-0,57.6%,1,-20.0%,6,-4.8%,23
3,MIA,54.9%,-2.5%,18,1-0,2.5%,17,-43.7%,2,8.7%,8
4,TEN,51.9%,-10.3%,25,1-0,-0.2%,19,-43.3%,3,8.7%,7
5,CHI,32.2%,2.4%,14,1-0,29.2%,5,0.4%,17,3.4%,11
6,IND,29.3%,-3.3%,19,1-0,32.9%,4,5.6%,20,2.0%,12
7,BUF,26.1%,-10.7%,26,0-1,11.9%,8,-12.4%,7,1.9%,13
8,PHI,25.5%,0.9%,15,1-0,28.6%,6,13.1%,23,10.0%,6
9,SEA,22.1%,21.3%,4,1-0,9.6%,10,0.7%,18,13.2%,2
10,STL,18.9%,-13.5%,29,1-0,-2.6%,21,-8.9%,9,12.6%,3
11,HOU,14.3%,6.9%,9,1-0,19.8%,7,-0.3%,15,-5.7%,25
12,SF,11.6%,14.7%,5,1-0,36.7%,3,24.0%,29,-1.2%,16
13,DET,11.5%,-1.1%,17,1-0,7.8%,14,-11.8%,8,-8.1%,26
14,NYJ,6.2%,-5.6%,21,1-0,-26.1%,28,-23.6%,5,8.6%,9
15,NO,5.9%,7.6%,8,1-0,8.5%,11,0.3%,16,-2.2%,18
16,GB,4.6%,21.7%,3,0-1,39.0%,2,32.8%,30,-1.6%,17
,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,TB,1.9%,4.2%,11,0-1,-40.1%,30,-26.7%,4,15.3%,1
18,CIN,1.8%,5.1%,10,0-1,5.6%,15,14.1%,24,10.3%,4
19,CAR,-4.8%,13.6%,6,0-1,10.9%,9,7.2%,21,-8.5%,27
20,ATL,-6.1%,3.2%,12,0-1,-0.4%,20,7.5%,22,1.8%,14
21,NE,-7.2%,24.1%,2,1-0,-14.2%,24,3.2%,19,10.2%,5
22,DAL,-7.9%,-6.8%,22,1-0,-17.8%,26,-3.3%,13,6.6%,10
23,SD,-12.6%,-7.8%,24,0-1,2.5%,18,15.0%,26,-0.1%,15
24,NYG,-14.2%,0.9%,16,0-1,-8.7%,22,-5.4%,11,-10.9%,28
25,ARI,-26.5%,-12.6%,27,0-1,-8.8%,23,-0.5%,14,-18.2%,32
26,OAK,-27.1%,-17.7%,31,0-1,5.3%,16,19.9%,28,-12.6%,30
27,MIN,-36.3%,-16.8%,30,0-1,-15.6%,25,17.5%,27,-3.3%,20
28,PIT,-36.8%,-3.6%,20,0-1,-37.8%,29,-5.5%,10,-4.4%,21
29,WAS,-38.5%,10.2%,7,0-1,7.9%,12,33.1%,31,-13.3%,31
30,CLE,-42.9%,-13.3%,28,0-1,-42.7%,31,-4.3%,12,-4.5%,22
31,BAL,-82.6%,3.1%,13,0-1,-18.0%,27,53.3%,32,-11.2%,29
32,JAC,-118.2%,-31.5%,32,0-1,-98.9%,32,14.2%,25,-5.1%,24
