,TEAM,TOTALVOA,LASTWEEK,TOTAL DAVE,RANK,W-L,OFFENSEVOA,OFF.RANK,DEFENSEVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,SEA,69.2%,2,42.8%,1,3-0,21.9%,5,-39.6%,1,7.6%,2
2,DEN,68.8%,1,42.0%,2,3-0,51.1%,1,-8.3%,12,9.4%,1
3,KC,34.6%,3,6.4%,11,3-0,5.4%,14,-27.4%,3,1.8%,11
4,IND,22.7%,9,6.4%,10,2-1,26.2%,4,5.5%,21,2.0%,10
5,NO,21.1%,12,13.8%,6,3-0,4.3%,15,-15.9%,5,0.9%,14
6,CHI,19.9%,7,8.5%,8,3-0,6.2%,13,-10.7%,8,3.0%,8
7,CAR,18.4%,20,16.9%,5,1-2,8.4%,10,-11.8%,7,-1.8%,22
8,MIA,17.3%,5,3.0%,13,3-0,10.3%,8,0.0%,18,7.0%,4
9,GB,15.6%,4,20.1%,3,1-2,33.9%,2,19.5%,29,1.2%,13
10,CIN,15.1%,10,9.9%,7,2-1,7.9%,11,-7.5%,13,-0.3%,17
11,NE,13.7%,11,19.7%,4,3-0,-10.7%,23,-18.7%,4,5.7%,5
12,NYJ,12.7%,22,1.9%,14,2-1,-21.4%,28,-29.9%,2,4.3%,6
13,ATL,9.6%,13,6.7%,9,1-2,17.9%,7,6.9%,22,-1.4%,20
14,DAL,8.5%,21,0.2%,18,2-1,-0.4%,17,-8.5%,11,0.4%,15
15,PHI,6.3%,6,1.9%,15,1-2,21.3%,6,14.9%,26,0.0%,16
16,DET,4.5%,17,0.7%,16,2-1,10.0%,9,-4.3%,15,-9.8%,30
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,TEN,-0.1%,15,-9.5%,25,2-1,-1.2%,18,-7.0%,14,-5.9%,26
18,SD,-0.2%,18,-4.0%,20,1-2,28.1%,3,27.3%,31,-1.1%,19
19,BUF,-1.8%,8,-8.9%,24,1-2,-4.9%,20,-1.4%,17,1.7%,12
20,HOU,-6.6%,16,0.4%,17,2-1,-2.8%,19,-10.1%,10,-13.8%,32
21,TB,-7.3%,19,-0.8%,19,0-3,-21.9%,29,-15.5%,6,-0.9%,18
22,BAL,-7.7%,27,3.5%,12,2-1,-8.5%,21,1.6%,20,2.3%,9
23,PIT,-12.0%,25,-5.3%,22,0-3,-17.6%,27,-2.4%,16,3.2%,7
24,MIN,-16.7%,26,-15.5%,26,0-3,-14.3%,25,0.8%,19,-1.6%,21
25,STL,-21.6%,14,-19.1%,28,1-2,-12.7%,24,16.4%,27,7.4%,3
26,CLE,-23.5%,29,-16.0%,27,1-2,-30.2%,30,-10.2%,9,-3.4%,24
27,SF,-29.8%,28,-5.1%,21,1-2,-8.8%,22,14.3%,24,-6.7%,28
28,ARI,-31.3%,24,-20.1%,29,1-2,-14.4%,26,10.7%,23,-6.2%,27
29,OAK,-34.2%,23,-24.5%,30,1-2,0.1%,16,26.0%,30,-8.3%,29
30,WAS,-37.3%,31,-8.2%,23,0-3,6.3%,12,37.9%,32,-5.6%,25
31,NYG,-59.8%,30,-25.5%,31,0-3,-31.9%,31,14.7%,25,-13.2%,31
32,JAC,-91.0%,32,-52.9%,32,0-3,-68.2%,32,19.3%,28,-3.4%,23
