,TEAM,TOTALDVOA,TOTAL DAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,SEA,61.0%,20.8%,2,1-0,43.3%,3,-18.3%,8,-0.6%,16
2,MIN,56.8%,4.6%,13,1-0,17.1%,11,-33.2%,4,6.4%,7
3,DET,55.3%,-0.8%,18,1-0,28.1%,7,-42.6%,2,-15.4%,28
4,TEN,54.0%,0.2%,16,1-0,18.5%,9,-40.7%,3,-5.1%,23
5,SF,53.7%,14.8%,3,1-0,44.4%,2,-8.9%,13,0.3%,13
6,CAR,35.1%,4.8%,11,1-0,2.3%,15,-43.9%,1,-11.1%,25
7,ATL,33.6%,-0.3%,17,1-0,45.5%,1,17.8%,24,5.9%,9
8,NYJ,29.8%,0.2%,15,1-0,-7.4%,21,-31.2%,5,6.0%,8
9,DEN,29.0%,24.5%,1,1-0,30.8%,5,-10.5%,11,-12.2%,27
10,BUF,27.2%,0.9%,14,1-0,17.8%,10,3.5%,17,12.9%,1
11,CIN,26.5%,6.6%,8,1-0,8.4%,13,-9.9%,12,8.2%,2
12,PIT,25.4%,5.5%,10,1-0,34.8%,4,16.5%,23,7.1%,6
13,MIA,20.6%,-3.1%,19,1-0,5.3%,14,-16.1%,9,-0.8%,17
14,PHI,4.8%,4.7%,12,1-0,-17.6%,25,-15.2%,10,7.1%,5
15,ARI,3.0%,-3.5%,20,1-0,-2.1%,16,-23.4%,6,-18.4%,30
16,CHI,1.6%,8.2%,7,0-1,12.7%,12,11.2%,22,0.2%,15
,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,CLE,-1.6%,-12.4%,28,0-1,28.7%,6,26.3%,27,-4.1%,22
18,JAC,-7.1%,-13.2%,30,0-1,-12.0%,22,-23.2%,7,-18.3%,29
19,HOU,-19.7%,-10.2%,25,1-0,-14.4%,24,1.8%,16,-3.5%,21
20,NE,-23.5%,10.2%,4,0-1,-5.8%,18,6.2%,20,-11.5%,26
21,BAL,-25.5%,-7.8%,23,0-1,-2.6%,17,3.8%,18,-19.1%,31
22,WAS,-25.8%,-8.1%,24,0-1,-14.1%,23,-8.8%,14,-20.4%,32
23,NO,-27.2%,8.4%,6,0-1,18.8%,8,53.3%,32,7.2%,4
24,IND,-30.9%,-4.5%,21,0-1,-7.2%,19,22.1%,26,-1.6%,18
25,OAK,-34.4%,-19.9%,32,0-1,-35.9%,28,-4.9%,15,-3.4%,20
26,SD,-37.6%,5.8%,9,0-1,-33.2%,27,9.6%,21,5.2%,10
27,GB,-37.7%,10.0%,5,0-1,-7.3%,20,30.6%,28,0.3%,14
28,TB,-43.5%,-5.2%,22,0-1,-40.7%,30,3.9%,19,1.1%,11
29,KC,-50.6%,-11.7%,27,0-1,-39.1%,29,19.1%,25,7.5%,3
30,DAL,-68.7%,-13.8%,31,0-1,-18.7%,26,39.9%,31,-10.1%,24
31,NYG,-78.3%,-12.9%,29,0-1,-47.7%,31,31.6%,30,1.0%,12
32,STL,-92.8%,-11.6%,26,0-1,-60.2%,32,30.8%,29,-1.8%,19
