,TEAM,TOTALDVOA,LASTWEEK,TOTAL DAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,48.7%,1,44.2%,1,5-1,31.4%,1,-18.2%,2,-0.9%,20
2,BAL,28.5%,2,26.1%,2,5-2,16.2%,4,-8.8%,6,3.5%,8
3,GB,26.1%,4,25.6%,3,5-2,19.9%,2,-4.4%,10,1.8%,14
4,SEA,22.7%,3,21.0%,4,3-3,15.5%,6,-8.1%,7,-0.9%,21
5,IND,19.4%,13,18.1%,5,5-2,8.7%,8,-5.6%,9,5.1%,4
6,PHI,14.5%,6,12.6%,7,5-1,-2.9%,18,-6.3%,8,11.1%,1
7,DAL,13.7%,10,12.2%,8,6-1,16.5%,3,1.3%,19,-1.6%,22
8,SD,13.2%,8,13.2%,6,5-2,15.7%,5,4.7%,23,2.1%,11
9,KC,9.9%,14,7.2%,9,3-3,6.6%,10,-1.4%,14,2.0%,13
10,MIA,6.8%,17,4.8%,11,3-3,5.6%,11,-11.1%,3,-9.9%,32
11,NE,5.7%,11,6.2%,10,5-2,1.8%,16,0.1%,16,3.9%,6
12,DET,5.2%,7,4.0%,12,5-2,-11.3%,26,-24.9%,1,-8.4%,31
13,CIN,2.7%,5,2.2%,13,3-2-1,1.9%,15,1.7%,20,2.5%,10
14,PIT,2.2%,20,2.0%,14,4-3,5.6%,12,7.4%,26,4.0%,5
15,ARI,0.6%,19,-0.5%,15,5-1,-11.2%,25,-10.0%,5,1.8%,15
16,BUF,-0.4%,18,-1.0%,16,4-3,-16.5%,29,-10.5%,4,5.5%,3
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,CLE,-0.9%,9,-3.4%,20,3-3,5.4%,13,5.8%,25,-0.5%,18
18,ATL,-1.8%,12,-2.6%,19,2-5,7.6%,9,16.0%,31,6.6%,2
19,CHI,-1.9%,16,-1.4%,17,3-4,1.5%,17,-1.8%,12,-5.2%,28
20,SF,-4.5%,15,-3.4%,21,4-3,-3.2%,21,-3.4%,11,-4.7%,27
21,NO,-4.6%,25,-1.5%,18,2-4,11.8%,7,17.7%,32,1.3%,16
22,NYG,-5.6%,21,-5.3%,22,3-4,-2.9%,19,1.0%,18,-1.7%,23
23,HOU,-9.2%,24,-9.1%,23,3-4,-4.9%,23,-0.3%,15,-4.7%,26
24,WAS,-10.3%,23,-10.7%,24,2-5,-3.0%,20,0.3%,17,-7.1%,29
25,CAR,-12.4%,22,-11.4%,25,3-3-1,2.3%,14,14.0%,29,-0.7%,19
26,TEN,-14.1%,26,-13.3%,27,2-5,-5.2%,24,5.3%,24,-3.6%,25
27,NYJ,-14.7%,28,-13.7%,28,1-6,-16.2%,28,2.3%,21,3.9%,7
28,STL,-15.7%,27,-12.9%,26,2-4,-4.6%,22,12.2%,28,1.1%,17
29,OAK,-22.3%,29,-21.4%,29,0-6,-16.0%,27,8.4%,27,2.0%,12
30,MIN,-29.2%,30,-23.7%,30,2-5,-29.8%,32,2.8%,22,3.3%,9
31,JAC,-29.8%,31,-27.9%,31,1-6,-28.7%,31,-1.4%,13,-2.4%,24
32,TB,-49.0%,32,-39.3%,32,1-5,-25.8%,30,15.0%,30,-8.2%,30
