,TEAM,TOTALDVOA,TOTALDAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,TEN,78.2%,-5.3%,25,1-0,34.0%,7,-44.4%,2,-0.2%,17
2,BUF,65.3%,1.3%,17,1-0,47.3%,3,1.9%,16,19.9%,1
3,ARI,64.8%,2.0%,15,1-0,50.2%,2,-8.5%,12,6.1%,7
4,CIN,58.3%,11.3%,5,1-0,38.6%,6,-24.3%,7,-4.6%,22
5,NYJ,56.5%,5.6%,9,1-0,22.8%,10,-35.2%,5,-1.6%,18
6,GB,55.9%,13.3%,4,1-0,54.5%,1,4.2%,19,5.6%,9
7,SF,53.6%,1.9%,16,1-0,40.9%,5,-25.0%,6,-12.3%,27
8,KC,33.4%,8.0%,7,1-0,24.5%,9,-6.7%,13,2.2%,13
9,NE,28.2%,19.4%,1,1-0,46.5%,4,23.2%,25,4.8%,11
10,SD,23.4%,7.2%,8,1-0,17.6%,11,-16.1%,9,-10.3%,25
11,STL,15.2%,8.5%,6,1-0,3.7%,14,-15.3%,10,-3.8%,21
12,DEN,14.5%,14.6%,3,1-0,-49.8%,30,-58.2%,1,6.2%,6
13,CAR,11.5%,-2.2%,20,1-0,-17.9%,24,-39.7%,4,-10.4%,26
14,MIA,8.3%,-2.7%,21,1-0,-5.1%,19,-2.4%,14,11.0%,2
15,ATL,0.5%,2.5%,13,1-0,-2.1%,17,3.4%,18,6.0%,8
16,DAL,-0.2%,1.2%,18,1-0,2.7%,15,0.5%,15,-2.4%,19
,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,NYG,-1.8%,-3.3%,23,0-1,-5.5%,20,6.0%,20,9.6%,3
18,BAL,-10.0%,3.1%,11,0-1,-57.4%,31,-41.0%,3,6.4%,5
19,PHI,-11.3%,2.6%,12,0-1,0.5%,16,3.2%,17,-8.7%,24
20,DET,-12.4%,2.1%,14,0-1,-6.6%,21,10.9%,21,5.1%,10
21,PIT,-17.6%,3.7%,10,0-1,29.1%,8,33.3%,28,-13.5%,28
22,WAS,-20.2%,-19.5%,31,0-1,-8.9%,22,-8.5%,11,-19.8%,32
23,JAC,-28.0%,-17.6%,30,0-1,-36.3%,27,-23.1%,8,-14.7%,29
24,SEA,-32.6%,17.9%,2,0-1,-19.4%,25,14.3%,23,1.1%,15
25,HOU,-33.9%,-11.1%,27,0-1,-4.7%,18,12.8%,22,-16.3%,30
26,CHI,-37.3%,-10.1%,26,0-1,4.6%,13,44.9%,31,3.0%,12
27,IND,-41.1%,0.5%,19,0-1,10.9%,12,33.9%,29,-18.1%,31
28,CLE,-57.6%,-15.0%,28,0-1,-40.5%,28,18.0%,24,0.9%,16
29,NO,-62.7%,-5.2%,24,0-1,-12.8%,23,47.2%,32,-2.7%,20
30,MIN,-67.0%,-2.8%,22,0-1,-22.9%,26,37.2%,30,-6.8%,23
31,OAK,-68.7%,-16.2%,29,0-1,-40.5%,29,29.4%,26,1.2%,14
32,TB,-104.0%,-24.1%,32,0-1,-79.4%,32,31.9%,27,7.3%,4
