,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,CIN,32.8%,3,32.1%,2,9-2,22.9%,1,-6.4%,8,3.4%,7
2,NE,30.6%,1,28.9%,5,10-1,20.3%,2,-2.4%,12,7.9%,1
3,KC,27.6%,6,32.7%,1,6-5,14.5%,5,-9.0%,6,4.2%,6
4,CAR,27.2%,4,29.5%,3,11-0,7.0%,10,-24.0%,2,-3.8%,28
5,SEA,26.9%,5,29.3%,4,6-5,14.5%,4,-7.1%,7,5.2%,4
6,ARI,25.1%,2,22.0%,6,9-2,12.0%,6,-13.3%,4,-0.2%,17
7,DEN,17.6%,9,17.0%,7,9-2,-11.6%,26,-26.2%,1,3.0%,8
8,GB,15.7%,8,11.4%,9,7-4,11.5%,7,-4.1%,10,0.2%,15
9,PIT,13.9%,7,14.3%,8,6-5,15.8%,3,0.5%,16,-1.4%,21
10,NYJ,10.3%,11,9.9%,10,6-5,-0.9%,15,-12.2%,5,-1.0%,19
11,BUF,5.4%,10,4.8%,13,5-6,8.6%,9,4.5%,21,1.2%,12
12,OAK,4.5%,14,5.0%,12,5-6,10.3%,8,5.2%,23,-0.7%,18
13,MIN,3.6%,16,5.8%,11,8-3,0.2%,14,-1.2%,14,2.2%,9
14,BAL,-3.5%,17,-4.3%,17,4-7,-4.5%,19,6.3%,26,7.3%,2
15,WAS,-4.7%,20,-3.7%,15,5-6,-4.8%,20,4.2%,20,4.3%,5
16,DET,-5.8%,28,-4.8%,18,4-7,-5.0%,21,2.4%,18,1.6%,11
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,NYG,-6.5%,12,-7.3%,21,5-6,-5.0%,22,6.8%,27,5.3%,3
18,STL,-6.7%,19,-8.7%,22,4-7,-21.5%,32,-14.4%,3,0.4%,13
19,CHI,-6.8%,27,-3.3%,14,5-6,4.2%,13,5.6%,25,-5.4%,31
20,IND,-7.0%,21,-5.1%,19,6-5,-7.8%,25,-0.5%,15,0.2%,14
21,TB,-7.3%,15,-3.8%,16,5-6,-3.6%,17,0.5%,17,-3.1%,26
22,HOU,-7.7%,23,-5.2%,20,6-5,-6.7%,24,-4.9%,9,-5.9%,32
23,ATL,-10.3%,18,-12.3%,25,6-5,-4.2%,18,4.0%,19,-2.1%,23
24,PHI,-11.0%,13,-12.2%,24,4-7,-13.4%,28,-3.7%,11,-1.4%,20
25,JAC,-14.2%,24,-14.9%,26,4-7,-5.5%,23,5.5%,24,-3.2%,27
26,MIA,-14.4%,22,-12.0%,23,4-7,-2.7%,16,8.7%,28,-3.0%,25
27,SD,-15.3%,30,-15.2%,27,3-8,5.2%,12,15.2%,30,-5.3%,30
28,TEN,-17.0%,25,-18.6%,28,2-9,-14.4%,29,-1.2%,13,-3.9%,29
29,DAL,-19.1%,26,-19.2%,29,3-8,-14.4%,30,4.6%,22,0.0%,16
30,NO,-22.0%,29,-23.9%,31,4-7,6.1%,11,26.3%,32,-1.8%,22
31,CLE,-22.3%,31,-22.5%,30,2-9,-12.4%,27,11.7%,29,1.8%,10
32,SF,-33.7%,32,-31.6%,32,3-8,-15.7%,31,15.4%,31,-2.6%,24
