,TEAM,TOTALDVOA,LASTWEEK,TOTALDAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,ARI,76.4%,1,27.7%,2,3-0,37.8%,3,-32.3%,3,6.3%,5
2,GB,51.0%,5,25.7%,3,3-0,42.8%,1,-3.2%,9,4.9%,6
3,NE,47.2%,6,30.3%,1,3-0,42.0%,2,1.6%,15,6.9%,4
4,CIN,36.0%,4,18.2%,4,3-0,26.5%,5,-11.8%,7,-2.3%,22
5,BUF,28.8%,14,8.2%,8,2-1,26.5%,6,0.1%,12,2.4%,9
6,PIT,24.8%,3,11.6%,7,2-1,32.8%,4,3.7%,19,-4.2%,26
7,DEN,23.0%,7,18.1%,5,3-0,-24.3%,31,-39.6%,1,7.6%,3
8,CAR,20.3%,8,6.1%,11,3-0,10.7%,9,-21.0%,4,-11.3%,30
9,NYJ,18.5%,2,7.5%,10,2-1,-11.9%,22,-34.5%,2,-4.0%,24
10,ATL,14.7%,10,7.7%,9,3-0,23.2%,7,9.8%,25,1.3%,14
11,TEN,11.2%,9,-4.1%,21,1-2,4.3%,11,-16.3%,6,-9.4%,29
12,SEA,8.3%,23,17.3%,6,1-2,-4.1%,16,3.4%,18,15.8%,1
13,NYG,5.5%,18,0.3%,15,1-2,6.9%,10,3.2%,17,1.8%,12
14,OAK,5.1%,25,-4.0%,20,2-1,12.8%,8,11.4%,28,3.7%,7
15,DAL,0.9%,11,-4.3%,22,2-1,4.1%,12,3.8%,21,0.6%,17
16,MIN,0.7%,24,3.1%,13,2-1,3.0%,13,3.8%,20,1.6%,13
,  ,  ,  , , ,  ,  ,  ,  ,  ,  ,  
17,STL,-0.5%,16,4.6%,12,1-2,-11.8%,21,-8.1%,8,3.2%,8
18,PHI,-2.5%,26,1.7%,14,1-2,-18.3%,27,-17.4%,5,-1.6%,21
19,WAS,-3.8%,13,-13.3%,25,1-2,-4.0%,15,-0.9%,11,-0.7%,18
20,BAL,-9.8%,17,-1.0%,16,0-3,-4.8%,17,7.3%,24,2.3%,11
21,KC,-13.9%,12,-2.3%,17,1-2,-13.7%,23,2.5%,16,2.4%,10
22,IND,-14.8%,29,-2.7%,18,1-2,-8.7%,19,1.5%,14,-4.6%,27
23,DET,-18.4%,22,-5.0%,23,0-3,-14.9%,24,4.8%,22,1.3%,15
24,SD,-18.5%,19,-3.8%,19,1-2,-3.5%,14,7.2%,23,-7.8%,28
25,CLE,-23.1%,21,-15.2%,27,1-2,-22.9%,30,10.8%,26,10.6%,2
26,MIA,-27.9%,15,-13.3%,26,1-2,-17.3%,26,11.3%,27,0.7%,16
27,JAC,-29.3%,20,-21.4%,29,1-2,-11.2%,20,15.7%,29,-2.4%,23
28,HOU,-30.9%,28,-15.5%,28,1-2,-17.0%,25,1.2%,13,-12.6%,32
29,NO,-32.4%,31,-12.7%,24,0-3,-4.9%,18,26.4%,31,-1.2%,20
30,TB,-37.5%,30,-23.9%,31,1-2,-38.4%,32,-2.1%,10,-1.1%,19
31,SF,-51.4%,27,-22.7%,30,1-2,-21.9%,29,25.3%,30,-4.1%,25
32,CHI,-70.2%,32,-32.8%,32,0-3,-21.6%,28,36.0%,32,-12.6%,31
