team1,team2,wind_conditions,weather_forecast
Vikings,Cardinals,1m NE,DOME
Bills,Eagles,1m SW,69f Mostly Cloudy
49ers,Browns,8m SSE,62f Mostly Cloudy
Lions,Rams,15m SSE,DOME
Saints,Buccaneers,12m ESE,80f Partly Cloudy
Titans,Jets,4m ENE,65f Mostly Cloudy
Steelers,Bengals,6m SSE,65f Partly Cloudy
Colts,Jaguars,8m E,77f Partly Cloudy
Chargers,Chiefs,11m SSE,60f Light Rain
Redskins,Bears,11m S,58f Overcast
Falcons,Panthers,6m S,70f Mostly Cloudy
Seahawks,Ravens,3m SE,66f Mostly Cloudy
Raiders,Broncos,2m N,39f Partly Cloudy
Cowboys,Packers,9m S,52f Drizzle
Patriots,Texans,3m S,52f Partly Cloudy
Giants,Dolphins,5m SE,75f Humid
