,opp_week,opp_TEAM,opp_OPP,opp_opp_points,opp_first_downs,opp_total_yds,opp_passing_yds,opp_rushing_yds,opp_penalty_cnt,opp_penalty_yds,opp_turnovers,opp_punt_cnt,opp_punt_yds,opp_punt_avg,opp_pos_time
0,1,ARI,NO,19,18,408,354,54,7,73,1,4,171,39,2004
1,2,ARI,CHI,23,18,335,226,109,14,170,2,5,229,41,1796
2,3,ARI,SF,7,10,156,53,103,6,45,4,6,283,45,1408
3,4,ARI,STL,24,13,328,164,164,7,66,0,7,348,45,1607
4,5,ARI,DET,17,29,436,379,57,9,85,6,4,172,39,2192
5,6,ARI,PIT,25,14,310,169,141,6,48,0,5,238,39,1731
6,7,ARI,BAL,18,18,276,221,55,9,64,2,6,272,42,1824
7,8,ARI,CLE,20,16,254,215,39,7,35,2,6,299,42,1537
8,10,ARI,SEA,32,18,343,228,115,14,131,1,5,204,35,1268
9,11,ARI,CIN,31,24,377,278,99,10,108,1,5,243,44,1875
10,12,ARI,SF,13,17,368,301,67,13,81,2,4,166,38,1353
11,13,ARI,STL,3,9,212,146,66,7,104,1,8,436,48,1213
12,14,ARI,MIN,20,23,389,317,72,3,25,3,2,91,44,1681
13,15,ARI,PHI,17,19,424,350,74,5,38,4,3,147,47,1352
14,16,ARI,GB,8,16,178,77,101,7,59,4,6,268,43,1784
15,17,ARI,SEA,36,22,354,209,145,6,70,0,2,91,47,2197
0,1,ATL,PHI,24,23,399,336,63,10,88,2,5,226,38,1473
1,2,ATL,NYG,20,19,388,291,97,6,35,1,4,164,39,1705
2,3,ATL,DAL,28,23,347,220,127,5,31,1,4,159,40,1547
3,4,ATL,HOU,21,24,428,374,54,5,35,4,4,194,41,1448
4,5,ATL,WAS,19,18,270,219,51,5,51,2,4,201,47,1669
5,6,ATL,NO,31,25,385,304,81,3,15,0,4,175,34,1950
6,7,ATL,TEN,7,15,256,179,77,5,45,2,7,305,42,1515
7,8,ATL,TB,23,21,290,173,117,8,43,0,3,127,35,1811
8,9,ATL,SF,17,18,318,185,133,5,30,2,5,241,33,1672
9,11,ATL,IND,24,17,276,202,74,7,42,3,5,260,48,1959
10,12,ATL,MIN,20,24,365,174,191,9,53,1,2,95,39,2008
11,13,ATL,TB,23,25,388,222,166,8,53,2,3,112,30,1875
12,14,ATL,CAR,38,20,424,282,142,6,60,0,4,196,47,1881
13,15,ATL,JAC,17,21,357,285,72,5,62,1,6,254,39,1527
14,16,ATL,CAR,13,18,268,113,155,4,40,1,3,130,37,1462
15,17,ATL,NO,20,24,390,323,67,4,45,1,2,105,53,1774
0,1,BAL,DEN,19,16,219,150,69,8,45,1,5,259,45,2237
1,2,BAL,OAK,37,27,448,351,97,16,106,1,2,118,49,1773
2,3,BAL,CIN,28,23,458,372,86,9,67,2,3,164,43,1808
3,4,BAL,PIT,20,17,263,96,167,4,20,0,6,239,38,1929
4,5,BAL,CLE,33,25,505,422,83,9,74,0,5,217,37,2356
5,6,BAL,SF,25,15,391,326,65,4,25,0,4,152,31,1613
6,7,BAL,ARI,26,21,414,264,150,4,40,0,4,144,27,1776
7,8,BAL,SD,26,22,371,290,81,6,66,0,4,177,40,1806
8,10,BAL,JAC,22,22,257,167,90,4,30,1,7,364,41,1832
9,11,BAL,STL,13,13,213,131,82,6,35,4,8,367,43,1628
10,12,BAL,CLE,27,21,338,275,63,2,15,0,6,283,29,1833
11,13,BAL,MIA,15,8,219,82,137,5,31,1,9,412,38,1311
12,14,BAL,SEA,35,28,424,301,123,6,42,1,3,153,36,2143
13,15,BAL,KC,34,15,277,164,113,6,55,0,5,232,41,1939
14,16,BAL,PIT,17,21,303,193,110,3,25,2,3,131,44,1540
15,17,BAL,CIN,24,17,292,147,145,11,72,0,7,303,41,1844
0,1,BUF,IND,14,23,304,240,64,5,49,3,4,177,43,1744
1,2,BUF,NE,40,28,507,451,56,11,119,2,1,54,40,1797
2,3,BUF,MIA,14,21,391,289,102,6,36,3,4,196,47,1687
3,4,BUF,NYG,24,19,303,211,92,11,85,1,8,355,42,1833
4,5,BUF,TEN,13,17,276,179,97,9,74,1,6,251,32,2131
5,6,BUF,CIN,34,21,355,243,112,3,20,0,3,121,40,1800
6,7,BUF,JAC,34,17,295,175,120,10,66,1,6,269,39,1718
7,9,BUF,MIA,17,29,397,291,106,8,62,1,3,94,31,1727
8,10,BUF,NYJ,17,15,318,190,128,3,20,4,5,258,49,1604
9,11,BUF,NE,20,18,356,271,85,5,61,1,7,288,40,1625
10,12,BUF,KC,30,21,413,255,158,8,58,0,3,117,37,1768
11,13,BUF,HOU,21,21,401,275,126,10,89,1,7,285,38,1913
12,14,BUF,PHI,23,20,348,232,116,5,55,1,7,353,43,1498
13,15,BUF,WAS,35,23,431,308,123,5,6,1,3,140,40,1744
14,16,BUF,DAL,6,14,307,186,121,8,65,2,4,138,35,1710
15,17,BUF,NYJ,17,15,300,178,122,6,41,3,4,161,36,1247
0,1,CAR,JAC,9,18,265,169,96,3,25,3,5,231,37,1554
1,2,CAR,HOU,17,21,300,239,61,10,70,1,8,388,43,1651
2,3,CAR,NO,22,27,380,310,70,8,55,2,2,92,46,1964
3,4,CAR,TB,23,25,411,270,141,5,48,5,2,82,39,1930
4,6,CAR,SEA,23,14,332,217,115,8,48,0,7,351,45,1668
5,7,CAR,PHI,16,20,349,172,177,7,46,1,5,233,46,1866
6,8,CAR,IND,26,19,359,223,136,2,15,4,6,292,39,2158
7,9,CAR,GB,29,21,402,331,71,7,87,2,8,357,40,1666
8,10,CAR,TEN,10,11,242,178,64,4,30,2,5,259,40,1445
9,11,CAR,WAS,16,9,186,172,14,9,68,5,5,266,53,1313
10,12,CAR,DAL,14,14,210,179,31,5,40,3,3,141,47,1486
11,13,CAR,NO,38,21,334,264,70,11,104,1,5,204,41,1406
12,14,CAR,ATL,0,15,230,176,54,6,54,4,5,228,38,1701
13,15,CAR,NYG,35,21,406,245,161,7,47,2,7,315,36,1748
14,16,CAR,ATL,20,21,373,296,77,3,20,1,1,25,25,2138
15,17,CAR,TB,10,21,386,309,77,5,65,3,4,147,36,1690
0,1,CHI,GB,31,21,322,189,133,10,74,0,2,97,33,1688
1,2,CHI,ARI,48,21,300,185,115,8,58,2,3,121,34,1804
2,3,CHI,SEA,26,17,371,212,159,5,41,0,4,166,42,1956
3,4,CHI,OAK,20,16,243,173,70,5,47,2,5,242,45,1598
4,5,CHI,KC,17,16,287,170,117,3,49,0,7,331,42,1583
5,6,CHI,DET,37,26,546,391,155,10,98,3,4,221,49,2337
6,8,CHI,MIN,23,17,327,180,147,4,35,1,4,134,33,1638
7,9,CHI,SD,19,19,339,262,77,8,54,1,4,159,34,1585
8,10,CHI,STL,13,12,285,191,94,8,57,2,6,296,48,1538
9,11,CHI,DEN,17,21,389,219,170,8,118,0,7,277,39,1993
10,12,CHI,GB,13,23,365,188,177,3,38,2,5,178,34,1728
11,13,CHI,SF,26,13,291,170,121,6,50,0,9,433,38,1486
12,14,CHI,WAS,24,24,374,275,99,8,63,1,4,172,34,2062
13,15,CHI,MIN,38,20,350,221,129,4,45,0,3,129,36,1930
14,16,CHI,TB,21,19,389,285,104,4,47,3,4,173,37,1377
15,17,CHI,DET,24,22,349,282,67,4,21,0,3,143,45,1950
0,1,CIN,OAK,13,16,246,183,63,5,32,2,6,260,36,1648
1,2,CIN,SD,19,19,354,223,131,8,64,3,3,144,38,1809
2,3,CIN,BAL,24,19,398,362,36,13,116,1,4,174,37,1792
3,4,CIN,KC,21,24,461,348,113,7,46,1,1,62,55,2213
4,5,CIN,SEA,24,16,397,197,200,10,112,1,8,407,37,1835
5,6,CIN,BUF,21,22,368,256,112,8,93,1,5,243,41,1800
6,8,CIN,PIT,10,21,356,240,116,10,91,3,6,213,29,1809
7,9,CIN,CLE,10,13,213,144,69,4,28,0,6,274,41,1437
8,10,CIN,HOU,10,16,256,174,82,5,54,1,8,374,39,1714
9,11,CIN,ARI,34,21,383,301,82,7,40,2,4,185,45,1725
10,12,CIN,STL,7,19,345,251,94,7,45,3,5,225,38,1793
11,13,CIN,CLE,3,18,273,205,68,7,84,2,3,119,34,1742
12,14,CIN,PIT,33,22,354,270,84,5,82,1,2,98,49,2147
13,15,CIN,SF,14,17,318,263,55,11,98,4,7,284,41,1741
14,16,CIN,DEN,20,22,390,277,113,5,40,1,5,217,42,1670
15,17,CIN,BAL,16,22,341,282,59,4,38,2,4,170,43,1756
0,1,CLE,NYJ,31,18,333,179,154,4,30,1,3,131,34,1700
1,2,CLE,TEN,14,21,385,219,166,9,85,3,6,298,24,2111
2,3,CLE,OAK,27,19,469,314,155,12,85,1,4,157,37,1949
3,4,CLE,SD,30,23,438,347,91,6,31,0,5,186,29,1541
4,5,CLE,BAL,30,22,377,196,181,12,98,0,6,297,49,1741
5,6,CLE,DEN,26,21,442,290,152,8,81,3,7,319,38,2204
6,7,CLE,STL,24,16,308,150,158,9,75,1,5,244,48,1467
7,8,CLE,ARI,34,25,491,372,119,5,25,4,2,100,41,2063
8,9,CLE,CIN,31,23,371,219,152,2,20,0,3,79,20,2163
9,10,CLE,PIT,30,22,459,399,60,5,50,2,1,42,42,1637
10,12,CLE,BAL,33,16,336,232,104,7,50,2,4,171,40,1767
11,13,CLE,CIN,37,20,377,233,144,5,55,0,1,27,27,1858
12,14,CLE,SF,10,15,221,150,71,5,40,0,7,286,36,1341
13,15,CLE,SEA,30,28,423,241,182,5,30,0,1,64,44,2073
14,16,CLE,KC,17,16,258,122,136,5,33,1,5,184,29,1736
15,17,CLE,PIT,28,16,379,349,30,9,45,3,3,156,41,1563
0,1,DAL,NYG,26,18,289,190,99,5,44,0,4,179,46,1370
1,2,DAL,PHI,10,17,226,219,7,8,60,3,7,302,38,1170
2,3,DAL,ATL,39,26,438,280,158,6,70,0,4,205,45,2053
3,4,DAL,NO,26,27,438,335,103,8,64,0,4,166,42,1853
4,5,DAL,NE,30,20,356,247,109,9,65,0,4,175,42,1608
5,7,DAL,NYG,27,13,289,157,132,3,13,0,5,235,38,1316
6,8,DAL,SEA,13,19,323,210,113,5,40,1,4,193,46,1778
7,9,DAL,PHI,33,25,459,287,172,10,70,0,5,241,47,1542
8,10,DAL,TB,10,23,327,246,81,7,62,2,4,167,36,1796
9,11,DAL,MIA,14,9,210,140,70,9,74,1,7,305,38,1270
10,12,DAL,CAR,33,18,294,165,129,8,53,0,2,80,36,2114
11,13,DAL,WAS,16,15,266,193,73,9,73,1,6,253,34,1967
12,14,DAL,GB,28,29,435,205,230,8,69,0,6,282,45,2268
13,15,DAL,NYJ,19,20,372,299,73,8,61,1,5,203,36,1937
14,16,DAL,BUF,16,19,408,172,236,7,62,2,3,143,37,1890
15,17,DAL,WAS,34,19,437,291,146,3,20,0,4,200,49,2037
0,1,DEN,BAL,13,11,173,100,73,3,15,2,6,310,48,1363
1,2,DEN,KC,24,20,314,170,144,9,60,5,4,210,53,1739
2,3,DEN,DET,12,21,286,258,28,9,76,3,5,266,47,1868
3,4,DEN,MIN,20,19,325,212,113,9,63,1,5,217,43,2034
4,5,DEN,OAK,10,20,288,223,65,6,41,3,4,207,51,2049
5,6,DEN,CLE,23,20,298,189,109,6,30,3,7,322,40,2000
6,8,DEN,GB,10,14,140,50,90,2,15,0,5,231,44,1593
7,9,DEN,IND,27,27,365,245,120,4,30,0,5,226,29,2319
8,10,DEN,KC,29,13,303,197,106,11,102,0,5,226,43,2007
9,11,DEN,CHI,15,19,347,261,86,0,0,2,4,137,34,1607
10,12,DEN,NE,24,16,301,262,39,5,47,1,10,450,41,1557
11,13,DEN,SD,3,15,272,179,93,8,72,3,4,192,43,1623
12,14,DEN,OAK,15,8,126,99,27,10,70,0,10,460,44,1442
13,15,DEN,PIT,34,28,377,354,23,9,63,2,6,232,38,1876
14,16,DEN,CIN,17,22,294,186,108,6,45,1,5,237,35,2248
15,17,DEN,SD,20,15,317,207,110,7,45,1,7,355,43,2072
0,1,DET,SD,33,28,483,388,95,5,40,3,2,104,35,2292
1,2,DET,MIN,26,20,350,151,199,10,97,1,3,134,44,1866
2,3,DET,DEN,24,19,354,313,41,9,95,2,5,213,37,1732
3,4,DET,SEA,13,18,345,235,110,5,30,3,4,192,41,1924
4,5,DET,ARI,42,15,345,158,187,9,70,0,6,227,38,1408
5,6,DET,CHI,34,24,444,353,91,9,76,1,5,222,44,2014
6,7,DET,MIN,28,25,425,285,140,3,31,1,2,90,41,2187
7,8,DET,KC,45,24,340,134,206,3,20,0,4,164,41,2054
8,10,DET,GB,16,22,372,325,47,5,55,0,9,372,37,1760
9,11,DET,OAK,13,13,214,164,50,6,31,0,5,217,39,1438
10,12,DET,PHI,14,14,227,159,68,2,30,1,6,288,46,1369
11,13,DET,GB,27,19,313,246,67,7,55,1,6,286,44,1616
12,14,DET,STL,21,15,317,114,203,5,48,2,6,284,46,1570
13,15,DET,NO,27,27,399,330,69,6,28,0,4,172,38,1824
14,16,DET,SF,17,20,322,201,121,11,65,1,3,125,42,1410
15,17,DET,CHI,20,16,342,234,108,1,15,3,2,102,51,1650
0,1,GB,CHI,23,25,402,213,189,6,64,1,1,56,56,1912
1,2,GB,SEA,17,21,324,205,119,6,92,2,5,201,36,1602
2,3,GB,KC,28,23,326,251,75,7,38,1,6,301,45,1590
3,4,GB,SF,3,8,196,119,77,4,30,1,6,247,39,1406
4,5,GB,STL,10,17,334,143,191,8,40,4,4,181,38,2023
5,6,GB,SD,20,32,548,488,60,9,76,1,3,117,26,2280
6,8,GB,DEN,29,24,500,340,160,11,93,1,3,120,37,2007
7,9,GB,CAR,37,20,427,297,130,6,45,1,6,289,45,1934
8,10,GB,DET,18,16,287,242,45,3,35,2,7,297,41,1840
9,11,GB,MIN,13,16,342,248,94,8,110,1,6,245,36,1778
10,12,GB,CHI,17,17,290,189,101,12,95,0,8,323,38,1872
11,13,GB,DET,23,17,306,205,101,9,108,1,6,274,46,1984
12,14,GB,DAL,7,11,270,99,171,6,30,1,7,325,45,1332
13,15,GB,OAK,20,20,372,252,120,10,95,2,5,217,39,1831
14,16,GB,ARI,38,19,381,260,121,10,119,2,4,172,43,1816
15,17,GB,MIN,20,14,242,91,151,5,37,2,5,195,36,1458
0,1,HOU,KC,27,19,330,233,97,2,25,0,7,307,36,2119
1,2,HOU,CAR,24,25,350,178,172,10,92,1,7,377,43,1949
2,3,HOU,TB,9,14,318,261,57,10,84,1,7,312,42,1424
3,4,HOU,ATL,48,22,378,243,135,10,80,0,6,286,41,2152
4,5,HOU,IND,27,22,323,213,110,7,65,0,3,147,45,1653
5,6,HOU,JAC,20,26,394,311,83,7,64,3,5,234,38,1798
6,7,HOU,MIA,44,21,503,255,248,8,52,1,5,246,41,1925
7,8,HOU,TEN,6,15,211,125,86,6,45,3,7,349,46,1868
8,10,HOU,CIN,6,16,256,183,73,9,70,2,7,288,40,1886
9,11,HOU,NYJ,17,16,267,197,70,7,54,2,8,364,40,1595
10,12,HOU,NO,6,14,268,218,50,10,82,1,6,281,42,1417
11,13,HOU,BUF,30,15,390,203,187,5,42,0,6,272,45,1687
12,14,HOU,NE,27,18,313,197,116,6,46,1,6,264,40,2114
13,15,HOU,IND,10,14,190,140,50,8,94,2,7,288,38,1564
14,16,HOU,TEN,6,13,257,227,30,4,43,4,9,427,43,1427
15,17,HOU,JAC,6,11,215,183,32,7,53,4,5,251,47,1463
0,1,IND,BUF,27,15,342,195,147,11,113,0,5,252,46,1856
1,2,IND,NYJ,20,20,344,243,101,8,90,1,5,170,34,1908
2,3,IND,TEN,33,28,433,345,88,6,55,2,5,212,42,2099
3,4,IND,JAC,13,21,431,289,142,13,92,0,8,307,36,2170
4,5,IND,HOU,20,24,444,362,82,13,125,2,3,123,36,1947
5,6,IND,NE,34,22,417,301,116,8,72,1,5,239,45,1648
6,7,IND,NO,27,22,449,266,183,12,100,1,10,487,43,2303
7,8,IND,CAR,29,17,379,239,140,6,55,3,7,291,40,2020
8,9,IND,DEN,24,16,309,274,35,8,56,2,5,215,43,1281
9,11,IND,ATL,21,21,375,275,100,6,69,4,5,253,47,1641
10,12,IND,TB,12,21,344,212,132,12,95,1,3,142,41,1655
11,13,IND,PIT,45,24,522,364,158,4,48,2,1,37,37,1970
12,14,IND,JAC,51,24,380,226,154,5,40,2,5,228,44,1752
13,15,IND,HOU,16,20,305,150,155,6,48,2,4,201,34,2036
14,16,IND,MIA,12,22,361,279,82,9,50,1,3,157,41,1969
15,17,IND,TEN,24,14,231,94,137,6,60,1,6,300,47,1603
0,1,KC,HOU,20,24,396,298,98,6,39,2,7,329,33,1481
1,2,KC,DEN,31,21,299,238,61,8,85,1,7,314,43,1861
2,3,KC,GB,38,26,448,325,123,12,89,0,5,215,39,2010
3,4,KC,CIN,36,18,445,321,124,11,84,0,3,143,48,1387
4,5,KC,CHI,18,21,328,241,87,6,49,1,5,235,44,2017
5,6,KC,MIN,16,16,321,237,84,5,50,2,4,181,34,1987
6,7,KC,PIT,13,18,339,192,147,1,5,3,2,91,33,1654
7,8,KC,DET,10,16,276,195,81,8,81,2,6,282,40,1546
8,10,KC,DEN,13,18,221,152,69,5,55,5,6,277,45,1593
9,11,KC,SD,3,14,201,149,52,6,39,2,6,281,45,1592
10,12,KC,BUF,22,25,415,286,129,9,91,2,3,119,33,1832
11,13,KC,OAK,20,27,361,262,99,4,21,3,4,158,32,2068
12,14,KC,SD,3,15,280,236,44,7,48,1,5,234,40,1868
13,15,KC,BAL,14,19,366,273,93,7,63,3,5,218,41,1661
14,16,KC,CLE,13,21,368,136,232,8,83,1,3,135,39,1864
15,17,KC,OAK,17,14,205,157,48,7,59,1,7,271,31,1505
0,1,SD,DET,28,16,302,233,69,4,29,2,5,176,35,1308
1,2,SD,CIN,24,20,389,214,175,9,75,2,3,161,47,1791
2,3,SD,MIN,31,18,284,121,163,3,39,1,4,165,41,1591
3,4,SD,CLE,27,20,432,332,100,12,91,1,4,192,47,2059
4,5,SD,PIT,24,14,349,194,155,8,86,1,8,322,40,1577
5,6,SD,GB,27,17,370,237,133,6,50,0,4,162,42,1320
6,7,SD,OAK,37,19,412,282,130,14,136,0,4,152,28,1849
7,8,SD,BAL,29,23,365,293,72,5,46,0,2,122,62,1794
8,9,SD,CHI,22,25,446,337,109,6,55,2,2,85,43,2015
9,11,SD,KC,33,22,385,232,153,5,35,0,5,203,41,2008
10,12,SD,JAC,25,20,420,318,102,6,35,1,3,124,30,1716
11,13,SD,DEN,17,19,293,159,134,3,18,1,5,183,32,1977
12,14,SD,KC,10,18,329,179,150,8,53,2,4,154,34,1732
13,15,SD,MIA,14,13,231,187,44,9,72,1,8,366,40,1267
14,16,SD,OAK,23,14,281,175,106,16,121,1,8,400,50,2001
15,17,SD,DEN,27,21,503,293,210,6,35,5,3,134,45,1528
0,1,MIA,WAS,10,20,349,188,161,11,88,2,3,124,10,2274
1,2,MIA,JAC,23,19,396,273,123,9,93,0,7,317,39,1808
2,3,MIA,BUF,41,21,428,277,151,5,40,0,3,137,39,1913
3,4,MIA,NYJ,27,23,425,218,207,14,163,1,5,212,29,2243
4,6,MIA,TEN,10,22,299,236,63,7,50,4,3,125,40,1687
5,7,MIA,HOU,26,24,322,251,71,3,25,1,8,384,46,1675
6,8,MIA,NE,36,24,437,342,95,8,69,0,6,264,43,1957
7,9,MIA,BUF,33,18,420,154,266,13,94,0,3,150,44,1873
8,10,MIA,PHI,19,29,436,353,83,7,54,1,7,254,28,1867
9,11,MIA,DAL,24,22,386,220,166,10,79,2,3,146,45,2330
10,12,MIA,NYJ,38,24,411,274,137,6,40,0,5,234,37,1876
11,13,MIA,BAL,13,22,375,281,94,5,36,2,5,267,46,2289
12,14,MIA,NYG,31,25,429,337,92,3,25,1,4,180,38,1831
13,15,MIA,SD,30,26,442,302,140,7,48,2,3,110,31,2333
14,16,MIA,IND,18,20,268,168,100,6,60,0,5,255,44,1631
15,17,MIA,NE,10,12,196,126,70,7,41,0,7,361,43,1735
0,1,MIN,SF,20,25,395,165,230,8,57,1,3,140,44,1982
1,2,MIN,DET,16,25,323,285,38,6,39,3,4,177,35,1734
2,3,MIN,SD,14,21,369,279,90,7,74,2,6,263,38,2009
3,4,MIN,DEN,23,18,344,200,144,8,40,2,3,141,45,1566
4,6,MIN,KC,10,16,328,271,57,8,95,1,6,250,39,1613
5,7,MIN,DET,19,14,274,197,77,5,30,0,6,296,46,1413
6,8,MIN,CHI,20,18,305,208,97,4,38,0,5,221,29,1962
7,9,MIN,STL,18,18,320,160,160,12,87,0,8,372,42,1947
8,10,MIN,OAK,14,20,371,287,84,8,82,2,6,257,40,1619
9,11,MIN,GB,30,19,320,196,124,4,19,0,4,152,38,1822
10,12,MIN,ATL,10,22,329,213,116,6,78,3,2,98,48,1592
11,13,MIN,SEA,38,25,433,260,173,9,65,1,2,78,27,2110
12,14,MIN,ARI,23,22,393,296,97,4,30,0,3,133,38,1919
13,15,MIN,CHI,17,21,293,199,94,6,39,2,4,161,40,1670
14,16,MIN,NYG,17,15,363,272,91,7,48,3,6,241,40,1503
15,17,MIN,GB,13,19,350,274,76,7,54,2,4,178,39,2142
0,1,NE,PIT,21,23,464,330,134,8,77,1,2,87,43,1925
1,2,NE,BUF,32,23,349,189,160,14,140,3,6,249,35,1803
2,3,NE,JAC,17,15,293,236,57,7,114,1,4,195,42,1520
3,5,NE,DAL,6,18,264,164,100,7,50,2,6,298,41,1992
4,6,NE,IND,27,24,409,289,120,11,103,0,6,287,47,1952
5,7,NE,NYJ,23,25,372,283,89,4,29,1,4,161,31,1983
6,8,NE,MIA,7,18,270,255,15,7,40,2,6,349,45,1643
7,9,NE,WAS,10,16,250,213,37,4,27,2,4,188,48,1375
8,10,NE,NYG,26,21,422,342,80,8,49,1,4,164,20,1704
9,11,NE,BUF,13,16,319,225,94,5,44,1,7,319,41,1975
10,12,NE,DEN,30,23,433,254,179,6,46,1,8,347,38,2191
11,13,NE,PHI,35,15,248,120,128,8,97,2,7,328,41,1544
12,14,NE,HOU,6,7,189,102,87,4,36,1,7,317,39,1486
13,15,NE,TEN,16,15,282,223,59,3,29,3,5,272,47,1823
14,16,NE,NYJ,26,24,428,285,143,6,39,1,5,239,40,2044
15,17,NE,MIA,20,20,438,342,96,10,93,0,5,243,39,1865
0,1,NO,ARI,31,25,427,307,120,5,30,1,4,158,39,1596
1,2,NO,TB,26,18,333,194,139,11,90,2,3,116,39,1712
2,3,NO,CAR,27,24,431,312,119,10,88,0,4,173,23,1636
3,4,NO,DAL,20,21,335,220,115,6,30,0,5,209,35,1760
4,5,NO,PHI,39,34,519,333,186,4,35,2,1,50,49,2042
5,6,NO,ATL,21,23,413,263,150,7,41,3,4,124,22,1650
6,7,NO,IND,21,15,376,301,75,7,42,3,10,517,45,1297
7,8,NO,NYG,49,28,416,329,87,6,53,1,4,212,41,1501
8,9,NO,TEN,34,25,483,371,112,9,66,1,5,253,46,1941
9,10,NO,WAS,47,24,526,301,225,5,26,0,2,87,39,2014
10,12,NO,HOU,24,23,362,195,167,6,40,1,4,189,29,2183
11,13,NO,CAR,41,33,497,322,175,8,87,3,3,114,36,2194
12,14,NO,TB,17,18,291,176,115,8,80,0,5,206,40,1366
13,15,NO,DET,35,24,396,246,150,10,92,1,3,133,40,1776
14,16,NO,JAC,27,21,412,347,65,8,55,2,3,150,50,1327
15,17,NO,ATL,17,25,419,327,92,4,32,2,2,74,37,1826
0,1,NYG,DAL,27,27,436,356,80,3,35,3,2,107,52,2230
1,2,NYG,ATL,24,25,402,346,56,6,65,0,5,273,37,1895
2,3,NYG,WAS,21,22,393,305,88,7,58,3,2,36,12,1710
3,4,NYG,BUF,10,14,313,258,55,17,135,2,7,363,49,1767
4,5,NYG,SF,27,22,380,256,124,4,28,0,3,138,36,1682
5,6,NYG,PHI,27,24,425,270,155,9,72,4,4,217,50,1830
6,7,NYG,DAL,20,27,460,227,233,7,46,4,2,66,33,2284
7,8,NYG,NO,52,36,614,511,103,12,93,2,2,95,41,2099
8,9,NYG,TB,18,19,385,249,136,9,79,3,2,85,33,1505
9,10,NYG,NE,27,22,406,329,77,7,93,2,4,200,40,1896
10,12,NYG,WAS,20,18,407,302,105,7,80,0,6,268,42,2160
11,13,NYG,NYJ,23,28,463,373,90,8,61,1,5,224,26,2311
12,14,NYG,MIA,24,16,363,235,128,12,123,1,6,280,38,1769
13,15,NYG,CAR,38,28,480,309,171,7,88,1,7,318,41,1852
14,16,NYG,MIN,49,17,368,150,218,2,10,0,4,162,38,2097
15,17,NYG,PHI,35,23,435,315,120,3,11,2,3,124,33,1686
0,1,NYJ,CLE,10,15,321,217,104,12,109,5,2,121,54,1900
1,2,NYJ,IND,7,17,343,250,93,11,84,5,3,149,50,1692
2,3,NYJ,PHI,24,18,231,108,123,5,21,1,9,440,41,1691
