opp_week,opp_TEAM,opp_OPP,opp_opp_points,opp_first_downs,opp_total_yds,opp_passing_yds,opp_rushing_yds,opp_penalty_cnt,opp_penalty_yds,opp_turnovers,opp_punt_cnt,opp_punt_yds,opp_punt_avg,opp_pos_time
1,ARI,DET,35,19,367,285,82,10,100,1,5,189,38,2000
2,ARI,IND,13,18,266,190,76,8,70,1,7,303,42,1989
3,ARI,DAL,28,15,273,174,99,9,76,0,7,311,44,1425
4,ARI,SF,15,20,305,210,95,13,113,1,7,351,48,1993
5,ARI,PHI,34,19,419,297,122,5,60,1,3,129,41,2147
6,ARI,TB,33,21,414,346,68,9,49,2,4,154,39,1657
7,ARI,LA,33,28,425,228,197,6,45,1,2,119,55,2341
9,ARI,SF,10,17,329,266,63,8,53,2,8,352,42,1418
10,ARI,SEA,22,14,287,212,75,12,108,0,8,398,42,1853
11,ARI,HOU,31,22,357,223,134,6,42,2,6,281,42,2026
12,ARI,JAX,24,19,219,128,91,5,45,3,8,396,40,1521
13,ARI,LA,32,18,303,213,90,7,36,1,4,207,49,1738
14,ARI,TEN,7,14,204,139,65,6,48,2,6,313,47,1571
15,ARI,WAS,20,14,218,187,31,7,82,1,6,319,43,1424
16,ARI,NYG,0,12,293,250,43,10,101,3,6,263,39,1607
17,ARI,SEA,24,13,296,195,101,8,100,0,8,348,39,1664
1,ATL,CHI,17,20,301,176,125,4,40,0,5,244,40,1766
2,ATL,GB,23,24,367,308,59,10,70,2,3,119,40,1883
3,ATL,DET,26,21,324,253,71,9,98,0,5,239,40,1645
4,ATL,BUF,23,15,281,164,117,9,55,0,4,189,45,1725
6,ATL,MIA,20,20,289,151,138,4,42,1,2,80,30,2064
7,ATL,NE,23,25,403,241,162,8,65,0,2,100,40,2045
8,ATL,NYJ,20,15,279,236,43,6,50,1,5,262,46,1901
9,ATL,CAR,20,20,330,129,201,5,29,2,5,249,47,1972
10,ATL,DAL,7,18,233,126,107,5,54,2,4,171,38,1674
11,ATL,SEA,31,26,360,224,136,9,106,2,1,43,43,1779
12,ATL,TB,20,27,373,279,94,2,15,0,3,160,45,1794
13,ATL,MIN,14,22,312,207,105,6,51,0,5,225,43,2042
14,ATL,NO,17,18,306,256,50,11,87,1,5,208,41,1519
15,ATL,TB,21,22,373,289,84,7,53,1,4,191,39,1605
16,ATL,NO,23,15,315,229,86,3,30,1,6,268,40,2028
17,ATL,CAR,10,15,248,161,87,5,35,3,7,329,44,1518
1,BAL,CIN,0,14,221,144,77,9,66,5,5,212,38,1560
2,BAL,CLE,10,20,386,293,93,11,65,5,4,209,48,1596
3,BAL,JAX,44,24,410,244,166,9,70,0,3,150,50,2043
4,BAL,PIT,26,22,381,208,173,8,60,1,4,150,38,2129
5,BAL,OAK,17,15,245,137,108,3,24,1,4,197,40,1577
6,BAL,CHI,27,18,342,111,231,5,44,2,9,420,32,2331
7,BAL,MIN,24,17,357,188,169,4,47,1,2,92,46,1921
8,BAL,MIA,0,13,196,151,45,7,43,2,8,328,40,1726
9,BAL,TEN,23,14,257,186,71,3,39,1,5,256,47,1658
11,BAL,GB,0,16,265,190,75,5,53,5,5,202,35,1797
12,BAL,HOU,16,20,303,237,66,6,36,3,4,174,44,1816
13,BAL,DET,20,18,372,294,78,6,45,3,6,275,41,1809
14,BAL,PIT,39,31,545,486,59,6,101,0,3,141,47,2030
15,BAL,CLE,10,15,266,136,130,6,35,4,5,216,43,1392
16,BAL,IND,16,17,296,203,93,2,19,0,2,74,37,1452
17,BAL,CIN,31,22,359,213,146,6,60,1,8,342,38,1719
1,BUF,NYJ,12,11,214,176,38,5,62,2,6,297,44,1616
2,BUF,CAR,9,19,255,178,77,6,40,0,6,249,41,2333
3,BUF,DEN,16,21,366,255,111,10,79,2,3,125,28,1774
4,BUF,ATL,17,25,391,242,149,4,45,3,3,120,40,1875
5,BUF,CIN,20,18,388,323,65,6,71,3,4,187,37,1801
7,BUF,TB,27,27,447,378,69,5,55,3,2,77,19,1990
8,BUF,OAK,14,23,367,313,54,6,50,4,4,153,34,1463
9,BUF,NYJ,34,21,331,137,194,10,66,0,5,208,38,2010
10,BUF,NO,47,32,482,184,298,4,41,1,0,0,0,2483
11,BUF,LAC,54,28,429,283,146,1,13,0,2,73,35,2165
12,BUF,KC,10,14,236,181,55,6,50,1,8,390,41,1602
13,BUF,NE,23,23,435,244,191,9,66,1,3,105,35,2041
14,BUF,IND,7,16,227,64,163,2,20,0,7,269,36,2162
15,BUF,MIA,16,21,349,249,100,7,60,3,4,187,41,1945
16,BUF,NE,37,28,411,218,193,2,10,1,1,44,44,1904
17,BUF,MIA,16,21,356,263,93,14,145,1,4,186,43,1736
1,CAR,SF,3,13,217,166,51,10,74,2,4,163,39,1539
2,CAR,BUF,3,10,176,107,69,5,44,0,6,297,45,1267
3,CAR,NO,34,21,362,213,149,1,10,0,3,150,46,1869
4,CAR,NE,30,24,373,293,80,7,55,0,3,135,37,1867
5,CAR,DET,24,19,242,192,50,1,10,1,5,206,39,1477
6,CAR,PHI,28,15,310,209,101,10,126,1,6,305,45,1684
7,CAR,CHI,17,5,153,85,68,5,40,0,6,296,47,1285
8,CAR,TB,3,16,279,194,85,6,55,3,6,274,42,1669
9,CAR,ATL,17,17,355,302,53,8,70,1,4,196,49,1628
10,CAR,MIA,21,17,313,213,100,7,57,1,4,167,39,1461
12,CAR,NYJ,27,21,391,282,109,7,68,1,7,318,32,1690
13,CAR,NO,31,19,400,252,148,7,68,1,4,184,41,2001
14,CAR,MIN,24,21,356,256,100,2,30,3,3,131,41,1722
15,CAR,GB,24,24,384,264,120,6,28,4,2,82,39,1563
16,CAR,TB,19,20,392,326,66,12,72,3,1,50,47,1770
17,CAR,ATL,22,20,371,311,60,7,60,0,5,233,44,2082
1,CHI,ATL,23,18,372,308,64,8,73,0,3,178,44,1834
2,CHI,TB,29,22,311,194,117,4,34,1,3,146,45,1991
3,CHI,PIT,17,19,282,212,70,6,40,2,5,203,37,1654
4,CHI,GB,35,17,260,169,91,7,55,0,5,238,46,1689
5,CHI,MIN,20,17,300,141,159,9,69,0,6,258,39,1884
6,CHI,BAL,24,16,291,166,125,8,69,3,7,385,49,1869
7,CHI,CAR,3,20,293,185,108,4,35,3,5,263,46,2315
8,CHI,NO,20,19,387,286,101,7,51,2,4,204,46,1883
10,CHI,GB,23,18,342,182,160,5,35,0,4,160,38,2033
11,CHI,DET,27,20,352,287,65,6,49,1,4,172,40,1836
12,CHI,PHI,31,24,420,244,176,11,70,3,2,87,44,2228
13,CHI,SF,15,23,388,278,110,8,53,1,2,72,2,2327
14,CHI,CIN,7,14,234,164,70,7,56,2,5,251,49,1311
15,CHI,DET,20,18,293,202,91,8,58,1,4,182,40,1745
16,CHI,CLE,3,12,253,178,75,8,60,3,7,334,41,1606
17,CHI,MIN,23,21,327,180,147,12,103,0,8,358,36,2155
1,CIN,BAL,20,17,268,111,157,11,85,1,6,250,39,2040
2,CIN,HOU,13,14,266,98,168,9,61,0,9,440,38,1935
3,CIN,GB,27,22,344,280,64,4,33,1,6,296,44,1761
4,CIN,CLE,7,16,215,170,45,4,28,1,6,295,37,1498
5,CIN,BUF,16,17,221,139,82,6,71,1,7,315,39,1799
7,CIN,PIT,29,21,420,268,152,1,5,0,2,90,36,2115
8,CIN,IND,23,19,331,216,115,7,45,1,5,183,26,1993
9,CIN,JAX,23,26,407,259,148,5,50,1,2,94,37,2414
10,CIN,TEN,24,27,416,236,180,5,55,2,6,339,42,2409
11,CIN,DEN,17,20,341,229,112,5,50,2,5,222,44,2111
12,CIN,CLE,16,21,405,236,169,7,69,0,3,108,26,1768
13,CIN,PIT,23,24,374,282,92,7,66,1,4,178,42,1789
14,CIN,CHI,33,29,482,250,232,10,74,0,3,142,43,2289
15,CIN,MIN,34,18,346,222,124,11,93,1,5,217,41,2152
16,CIN,DET,17,15,276,189,87,9,74,1,5,202,36,1651
17,CIN,BAL,27,19,312,194,118,5,47,1,8,333,39,1881
1,CLE,PIT,21,16,290,255,35,13,144,1,6,275,40,1730
2,CLE,BAL,24,24,337,201,136,7,45,2,5,235,43,2004
3,CLE,IND,31,16,335,243,92,11,99,1,7,320,43,2007
4,CLE,CIN,31,25,350,264,86,8,66,1,4,191,47,2102
5,CLE,NYJ,17,14,212,178,34,9,80,1,6,309,44,1534
