opp_week,opp_TEAM,opp_OPP,opp_opp_points,opp_first_downs,opp_total_yds,opp_passing_yds,opp_rushing_yds,opp_penalty_cnt,opp_penalty_yds,opp_turnovers,opp_punt_cnt,opp_punt_yds,opp_punt_avg,opp_pos_time
1,ARI,WAS,24,30,429,247,182,9,63,1,4,186,36,2288
2,ARI,LA,34,24,432,342,90,5,49,1,2,102,41,2048
3,ARI,CHI,16,21,316,194,122,7,45,2,3,158,44,2181
4,ARI,SEA,20,19,331,160,171,8,57,0,4,190,43,1906
5,ARI,SF,18,33,447,300,147,9,65,5,4,177,39,2412
6,ARI,MIN,27,20,411,216,195,9,52,2,5,225,42,2062
7,ARI,DEN,45,15,309,178,131,5,50,1,6,261,41,1849
8,ARI,SF,15,16,267,160,107,5,59,0,7,285,41,1939
10,ARI,KC,26,20,330,212,118,8,63,0,5,233,41,1693
11,ARI,OAK,23,19,325,173,152,4,20,0,8,361,35,2161
12,ARI,LAC,45,30,414,236,178,4,30,1,2,105,40,2118
13,ARI,GB,17,22,325,227,98,7,43,0,7,339,41,1946
14,ARI,DET,17,16,218,96,122,7,68,1,7,317,42,1696
15,ARI,ATL,40,23,435,220,215,6,50,0,6,266,39,1840
16,ARI,LA,31,33,461,192,269,6,66,1,2,103,51,2224
17,ARI,SEA,27,16,291,109,182,1,10,1,8,330,27,1749
1,ATL,PHI,18,18,232,119,113,11,101,2,6,313,47,1930
2,ATL,CAR,24,27,439,318,121,7,49,1,4,191,47,1818
3,ATL,NO,43,32,534,391,143,11,120,0,4,202,43,2265
4,ATL,CIN,37,30,407,308,99,6,55,1,2,31,10,1838
5,ATL,PIT,41,22,381,250,131,7,58,1,3,143,47,1748
6,ATL,TB,29,30,510,389,121,4,20,2,2,81,34,1701
7,ATL,NYG,20,21,433,372,61,4,58,0,4,163,41,1663
9,ATL,WAS,14,20,366,287,79,10,147,1,5,245,48,1624
10,ATL,CLE,28,19,427,216,211,7,38,1,4,187,46,1717
11,ATL,DAL,22,20,323,191,132,2,20,0,3,133,39,1917
12,ATL,NO,31,19,312,162,150,3,19,1,3,144,41,1741
13,ATL,BAL,26,25,366,159,207,9,88,1,3,142,35,2379
14,ATL,GB,34,23,300,162,138,6,37,0,4,169,39,1751
15,ATL,ARI,14,18,253,193,60,8,75,3,7,336,47,1760
16,ATL,CAR,10,29,436,295,141,10,86,4,3,128,40,2249
17,ATL,TB,32,22,433,341,92,3,30,1,4,202,44,1514
1,BAL,BUF,3,10,153,70,83,10,100,2,8,397,43,1486
2,BAL,CIN,34,24,373,265,108,9,92,0,6,241,41,1910
3,BAL,DEN,14,18,293,173,120,13,120,1,7,287,39,1786
4,BAL,PIT,14,14,284,265,19,5,40,2,5,206,40,1497
5,BAL,CLE,12,20,416,304,112,10,66,1,9,452,41,2176
6,BAL,TEN,0,7,106,51,55,4,35,0,9,375,36,1346
7,BAL,NO,24,26,339,205,134,6,52,1,2,88,40,2011
8,BAL,CAR,36,22,386,232,154,4,30,0,3,137,38,2041
9,BAL,PIT,23,27,395,282,113,8,103,0,4,150,31,2189
11,BAL,CIN,21,15,255,207,48,7,58,0,6,251,40,1311
12,BAL,OAK,17,13,249,182,67,4,24,1,6,268,32,1548
13,BAL,ATL,16,16,131,97,34,8,82,1,5,252,46,1221
14,BAL,KC,27,30,442,348,94,7,53,1,3,111,19,2220
15,BAL,TB,12,12,241,156,85,6,58,1,4,163,36,1370
16,BAL,LAC,10,14,198,147,51,8,69,3,7,291,39,1715
17,BAL,CLE,24,18,426,376,50,4,35,3,4,180,40,1290
1,BUF,BAL,47,26,369,252,117,9,78,1,5,257,48,2114
2,BUF,LAC,31,21,349,240,109,6,45,0,5,233,41,1982
3,BUF,MIN,6,21,292,278,14,6,59,3,5,259,45,1455
4,BUF,GB,22,22,423,282,141,5,60,2,4,171,38,2077
5,BUF,TEN,12,15,221,121,100,5,40,3,2,106,49,1571
6,BUF,HOU,20,15,216,142,74,6,50,3,5,203,39,1620
7,BUF,IND,37,22,376,156,220,4,35,0,4,188,47,1999
8,BUF,NE,25,22,387,311,76,5,33,0,4,148,29,1910
9,BUF,CHI,41,11,190,126,64,14,129,1,5,200,37,1557
10,BUF,NYJ,10,12,199,116,83,1,10,2,7,312,36,1238
12,BUF,JAX,21,25,333,107,226,10,90,2,6,287,46,1962
13,BUF,MIA,21,15,175,115,60,8,89,1,7,320,46,1623
14,BUF,NYJ,27,15,248,170,78,7,93,2,3,120,39,1573
15,BUF,DET,13,14,313,208,105,4,81,0,7,317,41,1734
16,BUF,NE,24,20,390,117,273,5,49,3,6,259,41,2138
17,BUF,MIA,17,17,225,126,99,4,35,4,5,175,33,1782
1,CAR,DAL,8,17,232,138,94,10,85,1,6,293,39,1764
2,CAR,ATL,31,23,442,272,170,2,26,1,4,179,38,1782
3,CAR,CIN,21,25,396,330,66,4,36,4,3,132,43,1565
5,CAR,NYG,31,18,432,382,50,8,62,3,2,99,51,1473
6,CAR,WAS,23,18,288,156,132,5,43,0,4,164,41,2124
7,CAR,PHI,17,21,342,284,58,4,35,1,3,135,41,2117
8,CAR,BAL,21,20,325,224,101,9,68,3,3,153,44,1559
9,CAR,TB,28,23,301,219,82,8,49,2,5,231,44,1740
10,CAR,PIT,52,25,457,319,138,1,24,0,2,80,40,1835
11,CAR,DET,20,20,309,215,94,1,5,0,6,281,44,1900
12,CAR,SEA,30,21,397,322,75,4,36,0,3,158,46,1826
13,CAR,TB,24,18,315,220,95,9,69,1,6,267,40,1794
14,CAR,CLE,26,12,348,232,116,7,52,2,3,143,46,1570
15,CAR,NO,12,21,346,191,155,9,80,2,4,168,42,2109
16,CAR,ATL,24,16,427,233,194,4,41,2,5,235,44,1351
17,CAR,NO,14,17,294,110,184,6,94,1,5,210,42,1594
1,CHI,GB,24,16,370,301,69,8,72,2,4,192,37,1598
2,CHI,SEA,17,17,276,202,74,5,37,2,7,316,37,1536
3,CHI,ARI,14,13,221,168,53,6,43,4,4,203,40,1419
4,CHI,TB,10,16,311,251,60,11,99,3,5,214,40,1914
6,CHI,MIA,31,23,541,380,161,7,67,3,4,162,34,2195
7,CHI,NE,38,21,381,273,108,7,64,3,4,171,34,1791
8,CHI,NYJ,10,12,207,150,57,8,45,0,8,337,38,1636
9,CHI,BUF,9,22,264,166,98,10,163,4,5,188,28,2043
10,CHI,DET,22,24,305,229,76,6,41,3,4,156,35,1920
11,CHI,MIN,20,19,268,246,22,4,50,3,4,178,42,1531
12,CHI,DET,16,17,333,222,111,5,54,2,5,227,36,1966
13,CHI,NYG,30,18,338,197,141,12,107,1,7,311,42,1993
14,CHI,LA,6,14,214,162,52,9,57,4,3,146,41,1391
15,CHI,GB,17,19,323,235,88,7,48,1,5,208,31,1777
16,CHI,SF,9,15,279,232,47,6,45,1,4,181,45,1470
17,CHI,MIN,10,12,164,101,63,3,30,0,5,257,52,1372
1,CIN,IND,23,24,380,305,75,7,91,2,2,95,48,1968
2,CIN,BAL,23,28,425,359,66,7,51,3,3,169,42,1690
3,CIN,CAR,31,23,377,147,230,3,17,0,4,165,39,2035
4,CIN,ATL,36,25,495,403,92,10,95,0,1,41,28,1762
5,CIN,MIA,17,17,297,169,128,9,85,3,5,209,38,1765
6,CIN,PIT,28,26,481,369,112,9,69,0,4,172,42,2096
7,CIN,KC,45,33,551,353,198,8,49,1,0,0,0,2023
8,CIN,TB,34,29,576,450,126,11,75,4,3,149,40,2159
10,CIN,NO,51,33,509,265,244,1,5,0,0,0,0,2386
11,CIN,BAL,24,23,403,136,267,5,31,1,4,157,28,2289
12,CIN,CLE,35,24,342,258,84,7,61,0,4,188,33,1924
13,CIN,DEN,24,16,361,143,218,7,60,1,6,260,43,1720
14,CIN,LAC,26,17,288,203,85,6,38,0,4,173,38,1642
15,CIN,OAK,16,13,297,229,68,8,90,2,6,229,38,1601
16,CIN,CLE,26,23,493,347,146,6,57,0,3,88,22,2131
17,CIN,PIT,16,18,343,278,65,9,70,1,5,189,38,2062
1,CLE,PIT,21,25,472,313,159,12,116,6,7,275,37,2112
2,CLE,NO,21,18,275,213,62,4,53,2,4,179,45,1961
3,CLE,NYJ,17,14,268,161,107,6,55,3,7,344,46,1748
4,CLE,OAK,45,27,565,426,139,6,65,2,6,267,40,2211
5,CLE,BAL,9,25,410,294,116,4,41,2,8,366,40,2022
6,CLE,LAC,38,24,449,203,246,10,72,1,5,208,31,1897
7,CLE,TB,26,34,456,342,114,8,65,4,4,187,30,2263
8,CLE,PIT,33,25,421,253,168,8,60,2,4,176,38,1932
9,CLE,KC,37,27,499,360,139,11,86,1,2,63,31,1749
10,CLE,ATL,16,25,382,311,71,1,5,2,3,118,37,1883
12,CLE,CIN,20,25,372,243,129,13,96,2,2,99,47,1676
13,CLE,HOU,29,25,384,197,187,5,77,0,3,114,38,2255
14,CLE,CAR,20,22,393,297,96,10,68,1,4,158,35,2030
15,CLE,DEN,16,22,270,238,32,8,51,2,3,124,38,1962
16,CLE,CIN,18,15,209,107,102,3,15,0,5,219,37,1469
17,CLE,BAL,26,24,463,167,296,10,65,1,4,196,38,2310
1,DAL,CAR,16,20,293,146,147,9,80,1,6,287,42,1836
2,DAL,NYG,13,17,255,220,35,3,24,1,6,260,40,1932
3,DAL,SEA,24,18,295,182,113,10,67,0,8,350,41,1964
4,DAL,DET,24,18,382,286,96,8,58,0,4,171,38,1795
5,DAL,HOU,19,25,462,374,88,5,25,2,3,160,39,2198
6,DAL,JAX,7,10,204,139,65,4,30,2,6,248,37,1270
7,DAL,WAS,20,15,305,175,130,5,35,0,6,227,36,1855
9,DAL,TEN,28,24,340,215,125,3,20,2,1,45,38,2066
10,DAL,PHI,20,23,421,350,71,0,0,1,2,88,44,1598
11,DAL,ATL,19,19,354,274,80,2,15,1,2,62,31,1683
12,DAL,WAS,23,18,331,251,80,4,25,3,5,228,46,1597
13,DAL,NO,10,14,176,111,65,5,48,1,4,206,45,1387
14,DAL,PHI,23,16,256,222,34,5,49,1,6,276,44,1352
15,DAL,IND,23,25,370,192,178,6,55,1,1,52,50,1908
16,DAL,TB,20,27,383,320,63,9,72,2,2,102,45,2119
17,DAL,NYG,35,20,441,298,143,11,78,2,2,94,47,1748
1,DEN,SEA,24,13,306,242,64,7,45,3,6,354,58,1492
2,DEN,OAK,19,21,373,281,92,4,30,0,4,189,42,1976
3,DEN,BAL,27,20,342,265,77,7,52,0,5,197,28,1814
